Year,Month,Month_ID,Stack_File,Expected_Stations,Successful_Stations,Outside_Stations,Failed_Stations,Status,Error
2018,4,2018_04,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_04.tif,6,6,0,0,Success,
2018,5,2018_05,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_05.tif,6,6,0,0,Success,
2018,6,2018_06,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_06.tif,6,6,0,0,Success,
2018,7,2018_07,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_07.tif,6,6,0,0,Success,
2018,8,2018_08,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_08.tif,6,6,0,0,Success,
2018,9,2018_09,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_09.tif,6,6,0,0,Success,
2018,10,2018_10,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_10.tif,6,6,0,0,Success,
2018,11,2018_11,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_11.tif,6,6,0,0,Success,
2018,12,2018_12,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2018_12.tif,6,6,0,0,Success,
2019,1,2019_01,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_01.tif,6,6,0,0,Success,
2019,2,2019_02,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_02.tif,6,6,0,0,Success,
2019,3,2019_03,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_03.tif,6,6,0,0,Success,
2019,4,2019_04,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_04.tif,6,6,0,0,Success,
2019,5,2019_05,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_05.tif,6,6,0,0,Success,
2019,6,2019_06,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_06.tif,6,6,0,0,Success,
2019,7,2019_07,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_07.tif,6,6,0,0,Success,
2019,8,2019_08,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_08.tif,6,6,0,0,Success,
2019,9,2019_09,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_09.tif,6,6,0,0,Success,
2019,10,2019_10,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_10.tif,6,6,0,0,Success,
2019,11,2019_11,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_11.tif,6,6,0,0,Success,
2019,12,2019_12,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2019_12.tif,6,6,0,0,Success,
2020,1,2020_01,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_01.tif,6,6,0,0,Success,
2020,2,2020_02,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_02.tif,6,6,0,0,Success,
2020,3,2020_03,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_03.tif,6,6,0,0,Success,
2020,4,2020_04,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_04.tif,6,6,0,0,Success,
2020,5,2020_05,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_05.tif,6,6,0,0,Success,
2020,6,2020_06,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_06.tif,6,6,0,0,Success,
2020,7,2020_07,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_07.tif,6,6,0,0,Success,
2020,8,2020_08,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_08.tif,6,6,0,0,Success,
2020,9,2020_09,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_09.tif,6,6,0,0,Success,
2020,10,2020_10,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_10.tif,6,6,0,0,Success,
2020,11,2020_11,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_11.tif,6,6,0,0,Success,
2020,12,2020_12,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2020_12.tif,6,6,0,0,Success,
2021,1,2021_01,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_01.tif,6,6,0,0,Success,
2021,2,2021_02,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_02.tif,6,6,0,0,Success,
2021,3,2021_03,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_03.tif,6,6,0,0,Success,
2021,4,2021_04,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_04.tif,6,6,0,0,Success,
2021,5,2021_05,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_05.tif,6,6,0,0,Success,
2021,6,2021_06,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_06.tif,6,6,0,0,Success,
2021,7,2021_07,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_07.tif,6,6,0,0,Success,
2021,8,2021_08,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_08.tif,6,6,0,0,Success,
2021,9,2021_09,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_09.tif,6,6,0,0,Success,
2021,10,2021_10,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_10.tif,6,6,0,0,Success,
2021,11,2021_11,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_11.tif,6,6,0,0,Success,
2021,12,2021_12,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2021_12.tif,6,6,0,0,Success,
2022,1,2022_01,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_01.tif,6,6,0,0,Success,
2022,2,2022_02,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_02.tif,6,6,0,0,Success,
2022,3,2022_03,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_03.tif,6,6,0,0,Success,
2022,4,2022_04,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_04.tif,6,6,0,0,Success,
2022,5,2022_05,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_05.tif,6,6,0,0,Success,
2022,6,2022_06,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_06.tif,6,6,0,0,Success,
2022,7,2022_07,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_07.tif,6,6,0,0,Success,
2022,8,2022_08,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_08.tif,6,6,0,0,Success,
2022,9,2022_09,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_09.tif,6,6,0,0,Success,
2022,10,2022_10,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_10.tif,6,6,0,0,Success,
2022,11,2022_11,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_11.tif,6,6,0,0,Success,
2022,12,2022_12,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2022_12.tif,6,6,0,0,Success,
